"filename", "language", "JavaScript", "JSON", "SQL", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Ori\Documents\CODES\general\project4\server\db.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Ori\Documents\CODES\general\project4\server\index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 10, 11, 38
"c:\Users\Ori\Documents\CODES\general\project4\server\models\users.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Ori\Documents\CODES\general\project4\server\package-lock.json", "JSON", 0, 1932, 0, 0, 0, 0, 0, 0, 1, 1933
"c:\Users\Ori\Documents\CODES\general\project4\server\package.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Ori\Documents\CODES\general\project4\server\routes\admin.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 1, 3, 43
"c:\Users\Ori\Documents\CODES\general\project4\server\routes\cart.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 24, 24, 182
"c:\Users\Ori\Documents\CODES\general\project4\server\routes\login.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 5, 13, 138
"c:\Users\Ori\Documents\CODES\general\project4\server\routes\order.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 8, 85
"c:\Users\Ori\Documents\CODES\general\project4\server\routes\store.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 3, 12, 64
"c:\Users\Ori\Documents\CODES\general\project4\server\verify.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 1, 4, 21
"Total", "-", 561, 14416, 70, 14, 1478, 173, 610, 240, 692, 18254
